region,point,lower,upper,mid_lower,mid_upper,metric,Expected change in daily cases
Alabama,1.09,0.77,1.44,0.97,1.17,Effective reproduction no.,Unsure
Louisiana,1.07,0.79,1.43,0.95,1.15,Effective reproduction no.,Unsure
Tennessee,1.06,0.91,1.28,1.01,1.1,Effective reproduction no.,Likely increasing
US,1.06,0.83,1.3,0.98,1.13,Effective reproduction no.,Unsure
Utah,1.05,0.82,1.35,0.99,1.12,Effective reproduction no.,Unsure
Alaska,1.03,0.16,1.62,0.81,1.32,Effective reproduction no.,Unsure
California,1.03,0.87,1.24,0.99,1.09,Effective reproduction no.,Unsure
Mississippi,1.03,0.83,1.27,0.97,1.09,Effective reproduction no.,Unsure
Arkansas,1.02,0.65,1.25,0.95,1.08,Effective reproduction no.,Unsure
Kentucky,1.01,0.81,1.29,0.95,1.06,Effective reproduction no.,Unsure
District of Columbia,1,0,1,0,1,New confirmed cases by infection date,Likely decreasing
Hawaii,1,0,14,0,1,New confirmed cases by infection date,Unsure
Kansas,1,0,4,1,2,New confirmed cases by infection date,Unsure
Maine,1,0,3,0,1,New confirmed cases by infection date,Unsure
New Hampshire,1,0,2,0,1,New confirmed cases by infection date,Likely decreasing
North Carolina,1,0.86,1.22,0.96,1.03,Effective reproduction no.,Unsure
North Dakota,1,0,3,0,1,New confirmed cases by infection date,Unsure
North Dakota,1,0.62,1.61,0.89,1.12,Effective reproduction no.,Unsure
South Dakota,1,0,5,0,2,New confirmed cases by infection date,Unsure
South Dakota,1,0.69,1.38,0.92,1.07,Effective reproduction no.,Unsure
Wyoming,1,0,18,0,1,New confirmed cases by infection date,Unsure
Washington,0.99,0.73,1.25,0.92,1.06,Effective reproduction no.,Unsure
Georgia,0.98,0.8,1.25,0.94,1.03,Effective reproduction no.,Unsure
Maine,0.98,0.49,1.67,0.81,1.14,Effective reproduction no.,Unsure
Ohio,0.98,0.8,1.29,0.91,1.03,Effective reproduction no.,Unsure
Kansas,0.97,0.64,1.3,0.89,1.06,Effective reproduction no.,Unsure
Nebraska,0.96,0.54,1.3,0.86,1.04,Effective reproduction no.,Unsure
New Mexico,0.96,0.82,1.16,0.92,1,Effective reproduction no.,Unsure
Minnesota,0.95,0.64,1.36,0.8,1.04,Effective reproduction no.,Unsure
Missouri,0.95,0.57,1.25,0.86,1.04,Effective reproduction no.,Unsure
West Virginia,0.94,0.61,1.34,0.86,1,Effective reproduction no.,Unsure
Wisconsin,0.94,0.65,1.23,0.86,1,Effective reproduction no.,Unsure
Michigan,0.92,0.57,1.27,0.83,1.02,Effective reproduction no.,Unsure
Colorado,0.9,0.53,1.33,0.79,1.01,Effective reproduction no.,Unsure
Maryland,0.9,0.75,1.07,0.85,0.94,Effective reproduction no.,Likely decreasing
New Jersey,0.9,0.65,1.07,0.85,0.95,Effective reproduction no.,Likely decreasing
Pennsylvania,0.9,0.65,1.2,0.86,0.95,Effective reproduction no.,Likely decreasing
Connecticut,0.89,0.62,1.36,0.78,0.96,Effective reproduction no.,Unsure
Massachusetts,0.89,0.76,1.04,0.86,0.92,Effective reproduction no.,Likely decreasing
District of Columbia,0.88,0.72,1.08,0.85,0.93,Effective reproduction no.,Likely decreasing
New York,0.88,0.66,1.08,0.83,0.93,Effective reproduction no.,Likely decreasing
Illinois,0.86,0.62,1.1,0.77,0.92,Effective reproduction no.,Likely decreasing
New Hampshire,0.86,0.48,1.1,0.78,0.97,Effective reproduction no.,Likely decreasing
Virginia,0.81,0.2,1.13,0.71,1.04,Effective reproduction no.,Likely decreasing
Rhode Island,0.76,0.42,1.06,0.68,0.9,Effective reproduction no.,Likely decreasing
Vermont,0.7,0,1.12,0.52,0.91,Effective reproduction no.,Likely decreasing
Delaware,0.69,0.16,1.16,0.52,0.87,Effective reproduction no.,Likely decreasing
Virgin Islands,0.25,0,0.86,0,0.25,Effective reproduction no.,Likely decreasing
Alaska,0,0,2,0,0,New confirmed cases by infection date,Unsure
Delaware,0,0,1,0,0,New confirmed cases by infection date,Likely decreasing
Rhode Island,0,0,2,0,0,New confirmed cases by infection date,Likely decreasing
Vermont,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing
Virgin Islands,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing
West Virginia,0,0,1,0,0,New confirmed cases by infection date,Unsure
